date,technology,amazon_books,people_amount,job_amount,positive_ratio,learning_materials,answered_percentage
5/2012,php,1648,139681,764,3,8810,85
5/2012,java,3348,338197,3500,-4,11100,85
5/2012,ruby,156,30121,693,0,812,86
5/2012,objective-c,63,23673,316,-7,462,83
5/2012,c++,1910,287219,3487,-2,3660,93
5/2012,php,1648,139681,764,2,8810,85
5/2012,java,3348,338196,3498,-4,11100,85
5/2012,ruby,156,30118,692,0,901,86
5/2012,objective-c,63,23673,316,-7,462,83
5/2012,c++,1910,287148,3487,-2,3660,93
5/2012,php,1648,139649,762,0,8810,85
5/2012,java,3348,338211,3493,-8,11100,85
5/2012,ruby,156,30122,690,-4,851,86
5/2012,objective-c,63,23669,316,-7,462,83
5/2012,c++,1910,287225,3479,-1,3660,93
5/2012,php,1648,139686,762,-2,0,85
5/2012,java,3348,338212,3499,-3,0,85
5/2012,ruby,156,30122,693,-7,0,86
5/2012,objective-c,63,23674,316,-7,0,83
5/2012,c++,1910,287229,3481,-8,0,93
5/2012,php,1648,139687,762,-2,0,85
5/2012,java,3348,338215,3499,-2,0,85
5/2012,ruby,156,30122,693,-6,0,86
5/2012,objective-c,63,23674,316,-7,0,83
5/2012,c++,1910,287227,3490,0,0,93
5/2012,php,1648,139695,762,0,8810,85
5/2012,java,3348,338254,3505,-4,11100,85
5/2012,ruby,156,30126,694,-1,851,86
5/2012,objective-c,63,23681,316,-8,462,83
5/2012,c++,1910,287255,3499,-2,3660,93
5/2012,php,1648,139721,756,-1,8810,85
5/2012,java,3348,338331,3494,0,11100,85
5/2012,ruby,156,30131,692,-2,851,86
5/2012,objective-c,63,23682,317,-5,463,83
5/2012,c++,1910,287322,3496,0,3960,93
5/2012,php,1648,139725,757,1,8810,85
5/2012,java,3348,338339,3496,-1,11100,85
5/2012,ruby,156,30131,693,2,841,86
5/2012,objective-c,63,23687,317,-6,462,83
5/2012,c++,1910,287324,3496,1,3660,93
5/2012,php,1648,139733,765,5,8810,85
5/2012,java,3348,338359,3508,3,11100,85
5/2012,ruby,156,30130,696,1,841,86
5/2012,objective-c,63,23689,318,-2,462,83
5/2012,c++,1910,287337,3504,-7,3660,93
5/2012,php,1648,139737,765,1,8810,85
5/2012,java,3348,338363,3509,6,11100,85
5/2012,ruby,156,30130,696,1,841,86
5/2012,objective-c,63,23689,319,-2,462,83
5/2012,c++,1910,287342,3506,-4,3660,93
